City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
103,Adamas,GR,57.88,overcast clouds,36.7333,24.4333,Aphrodite of Milos
104,Sampit,ID,78.75,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
105,Miramar,US,80.01,clear sky,25.9873,-80.2323,Stadium Hotel
107,Lagoa,PT,56.97,broken clouds,39.05,-27.9833,Casa Das Faias
108,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
109,Voskresenskoye,RU,25.65,broken clouds,56.8381,45.4317,AOM OTABIXA ВОСКРЕСЕНСКОЕ ОДМОСКОВЬЕ
110,Bubaque,GW,75.16,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
111,Sambava,MG,74.53,scattered clouds,-14.2667,50.1667,Melrose
112,Bredasdorp,ZA,59.7,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
113,Seoul,KR,54.79,overcast clouds,37.5683,126.9778,롯데호텔 서울
114,Hilo,US,77.29,haze,19.7297,-155.09,Hilo Hawaiian Hotel
115,East London,ZA,64.62,broken clouds,-33.0153,27.9116,Tu Casa
116,Tekeli,KZ,51.22,broken clouds,44.83,78.8239,Vuslat Tekeli
117,Lagunas,PE,74.53,broken clouds,-5.2269,-75.6753,Hospedaje Eco
118,Ventspils,LV,28.33,clear sky,57.3894,21.5606,Jūras brīze
119,Lebu,CL,53.33,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
120,Hirara,JP,70.75,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
121,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
122,Hobyo,SO,82.67,broken clouds,5.3505,48.5268,Iftin hotel hobyo
123,Alyangula,AU,83.91,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
124,Maceio,BR,80.49,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
125,Solnechnyy,RU,31.82,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
126,Anadyr,RU,32.5,light snow,64.75,177.4833,Отке17.ру — жильё для командированных
127,Hithadhoo,MV,82.87,broken clouds,-0.6,73.0833,Scoop Guest House
128,Fortuna,US,59.94,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
129,Rocha,UY,58.06,light rain,-34.4833,-54.3333,Hotel Arrarte
130,Hermanus,ZA,61.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
132,Tautira,PF,81.37,light rain,-17.7333,-149.15,Pension Oaoa
133,Arona,ES,73.92,haze,28.0996,-16.681,Paradise Court
134,Xingtai,CN,57.11,broken clouds,37.0631,114.4942,Xingzhou Hotel
135,Cabo San Lucas,MX,88.9,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
136,Washington,US,52.48,broken clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
137,Hasaki,JP,64.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
138,Erdenet,MN,40.69,few clouds,49.0333,104.0833,Erdenet hotel
139,Port Moresby,PG,83.95,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
140,Campulung Moldovenesc,RO,30.45,broken clouds,47.5333,25.5667,Manoir Mignon
141,Goderich,CA,36.91,few clouds,43.7501,-81.7165,Harmony Inn
142,Vila Franca Do Campo,PT,59.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
143,Tuktoyaktuk,CA,15.49,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
144,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
145,Ulladulla,AU,68.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
146,Roald,NO,49.75,overcast clouds,62.5833,6.1333,Flem Cabins
147,Mehamn,NO,40.03,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
148,Eureka,US,63.75,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
149,Vaini,TO,80.98,overcast clouds,-21.2,-175.2,Keleti Beach Resort
150,General Roca,AR,64.62,broken clouds,-39.0333,-67.5833,Hotel El Recreo
151,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
